dataset,step,label,n_episodes,episode,seed,success,progress_pct,stage_reached,stage_index,failure_mode,ever_reached,ever_grasped,ever_lifted,ever_hovered,r_reach_max,r_grasp_max,r_lift_max,r_hover_max,max_staged_reward,init_gripper_to_can,min_gripper_to_can,reach_closure_frac,init_can_to_bin_xy,min_can_to_bin_xy,bin_closure_frac,max_can_height_gain,max_can_displacement,can_fell_off,steps,step_first_reach,step_first_grasp,step_first_lift,step_first_hover,step_first_success,eef_path_length,eef_net_displacement,path_efficiency,action_abs_mean,action_abs_max,action_saturation_frac,action_jerk_mean,gripper_cmd_mean,gripper_closed_frac,gripper_switches,best_shaped_reward
mg,1000,k1_mg_1000,30,0,100000,False,5.36,none,0,never_reached_cube,False,False,False,False,0.1786,0.0,0.0,0.0,0.1786,0.203,0.1161,0.4279,,,,0.0,0.0127,False,150,,,,,,2.4436,0.3914,0.1602,0.6303,0.9822,0.0,0.8205,0.0171,0.48,73,0.0794
mg,1000,k1_mg_1000,30,1,100001,False,4.66,none,0,never_reached_cube,False,False,False,False,0.1555,0.0,0.0,0.0,0.1555,0.1951,0.1237,0.366,,,,0.0,0.0127,False,150,,,,,,2.8816,0.5375,0.1865,0.6192,0.9822,0.0,0.787,0.0323,0.5333,71,0.0691
mg,1000,k1_mg_1000,30,2,100002,False,11.15,reach,1,reached_but_no_grasp,True,False,False,False,0.3717,0.0,0.0,0.0,0.3717,0.198,0.0739,0.6269,,,,0.0,0.0127,False,150,62,,,,,1.9771,0.2813,0.1423,0.6215,0.9822,0.0,0.8138,-0.0193,0.48,70,0.1652
mg,1000,k1_mg_1000,30,3,100003,False,15.44,reach,1,reached_but_no_grasp,True,False,False,False,0.5145,0.0,0.0,0.0,0.5145,0.2195,0.053,0.7584,,,,0.0,0.0127,False,150,116,,,,,2.1529,0.2087,0.0969,0.5913,0.9822,0.0,0.8107,0.0488,0.56,70,0.2287
mg,1000,k1_mg_1000,30,4,100004,False,5.88,none,0,never_reached_cube,False,False,False,False,0.1961,0.0,0.0,0.0,0.1961,0.2024,0.111,0.4518,,,,0.0,0.0274,False,150,,,,,,2.241,0.1603,0.0715,0.6078,0.9822,0.0,0.8168,0.138,0.62,77,0.0871
mg,1000,k1_mg_1000,30,5,100005,False,3.94,none,0,never_reached_cube,False,False,False,False,0.1313,0.0,0.0,0.0,0.1313,0.2096,0.1328,0.3665,,,,0.0,0.0127,False,150,,,,,,2.3202,0.2023,0.0872,0.621,0.9822,0.0,0.8208,0.0331,0.5333,76,0.0584
mg,1000,k1_mg_1000,30,6,100006,False,13.92,reach,1,reached_but_no_grasp,True,False,False,False,0.4642,0.0,0.0,0.0,0.4642,0.194,0.0598,0.6915,,,,0.0,0.0127,False,150,145,,,,,2.4248,0.1923,0.0793,0.6145,0.9822,0.0,0.8073,0.0545,0.5267,76,0.2063
mg,1000,k1_mg_1000,30,7,100007,False,0.71,none,0,never_reached_cube,False,False,False,False,0.0237,0.0,0.0,0.0,0.0237,0.2082,0.2212,0.0,,,,0.0,0.0127,False,150,,,,,,2.0242,0.2579,0.1274,0.6164,0.9822,0.0,0.7891,-0.0539,0.4533,83,0.0105
mg,1000,k1_mg_1000,30,8,100008,False,2.13,none,0,never_reached_cube,False,False,False,False,0.071,0.0,0.0,0.0,0.071,0.217,0.1651,0.2393,,,,0.0,0.0127,False,150,,,,,,2.4115,0.2365,0.0981,0.6268,0.9822,0.0,0.8269,0.0303,0.5067,62,0.0316
mg,1000,k1_mg_1000,30,9,100009,False,1.91,none,0,never_reached_cube,False,False,False,False,0.0638,0.0,0.0,0.0,0.0638,0.2226,0.1706,0.2334,,,,0.0,0.0127,False,150,,,,,,2.5299,0.2003,0.0792,0.63,0.9822,0.0,0.8222,0.078,0.5467,69,0.0284
