dataset,step,label,n_episodes,failure_mode,count
mg,1000,k1_mg_1000,30,never_reached_cube,25
mg,1000,k1_mg_1000,30,reached_but_no_grasp,5
mg,250,k1_mg_250,30,never_reached_cube,30
mg,500,k1_mg_500,30,never_reached_cube,24
mg,500,k1_mg_500,30,reached_but_no_grasp,6
mg,750,k1_mg_750,30,never_reached_cube,25
mg,750,k1_mg_750,30,reached_but_no_grasp,5
mh,1000,k1_mh_1000,30,reached_but_no_grasp,19
mh,1000,k1_mh_1000,30,never_reached_cube,8
mh,1000,k1_mh_1000,30,none_success,2
mh,1000,k1_mh_1000,30,lifted_but_below_threshold,1
mh,250,k1_mh_250,30,reached_but_no_grasp,18
mh,250,k1_mh_250,30,never_reached_cube,6
mh,250,k1_mh_250,30,none_success,5
mh,250,k1_mh_250,30,lifted_but_below_threshold,1
mh,500,k1_mh_500,30,never_reached_cube,19
mh,500,k1_mh_500,30,reached_but_no_grasp,10
mh,500,k1_mh_500,30,none_success,1
mh,750,k1_mh_750,30,reached_but_no_grasp,19
mh,750,k1_mh_750,30,never_reached_cube,7
mh,750,k1_mh_750,30,none_success,4
ph,1000,k1_ph_1000,30,reached_but_no_grasp,24
ph,1000,k1_ph_1000,30,lifted_but_below_threshold,3
ph,1000,k1_ph_1000,30,none_success,2
ph,1000,k1_ph_1000,30,never_reached_cube,1
ph,250,k1_ph_250,30,reached_but_no_grasp,21
ph,250,k1_ph_250,30,never_reached_cube,8
ph,250,k1_ph_250,30,none_success,1
ph,500,k1_ph_500,30,reached_but_no_grasp,19
ph,500,k1_ph_500,30,none_success,7
ph,500,k1_ph_500,30,lifted_but_below_threshold,3
ph,500,k1_ph_500,30,never_reached_cube,1
ph,750,k1_ph_750,30,reached_but_no_grasp,20
ph,750,k1_ph_750,30,lifted_but_below_threshold,6
ph,750,k1_ph_750,30,never_reached_cube,2
ph,750,k1_ph_750,30,none_success,2
random,0,k1_random,30,never_reached_cube,24
random,0,k1_random,30,reached_but_no_grasp,6
