dataset,step,label,n_episodes,stage,count
mg,1000,k1_mg_1000,30,none,25
mg,1000,k1_mg_1000,30,reach,5
mg,1000,k1_mg_1000,30,grasp,0
mg,1000,k1_mg_1000,30,lift,0
mg,1000,k1_mg_1000,30,success,0
mg,250,k1_mg_250,30,none,30
mg,250,k1_mg_250,30,reach,0
mg,250,k1_mg_250,30,grasp,0
mg,250,k1_mg_250,30,lift,0
mg,250,k1_mg_250,30,success,0
mg,500,k1_mg_500,30,none,24
mg,500,k1_mg_500,30,reach,6
mg,500,k1_mg_500,30,grasp,0
mg,500,k1_mg_500,30,lift,0
mg,500,k1_mg_500,30,success,0
mg,750,k1_mg_750,30,none,25
mg,750,k1_mg_750,30,reach,5
mg,750,k1_mg_750,30,grasp,0
mg,750,k1_mg_750,30,lift,0
mg,750,k1_mg_750,30,success,0
mh,1000,k1_mh_1000,30,none,8
mh,1000,k1_mh_1000,30,reach,19
mh,1000,k1_mh_1000,30,grasp,0
mh,1000,k1_mh_1000,30,lift,1
mh,1000,k1_mh_1000,30,success,2
mh,250,k1_mh_250,30,none,6
mh,250,k1_mh_250,30,reach,18
mh,250,k1_mh_250,30,grasp,0
mh,250,k1_mh_250,30,lift,1
mh,250,k1_mh_250,30,success,5
mh,500,k1_mh_500,30,none,19
mh,500,k1_mh_500,30,reach,10
mh,500,k1_mh_500,30,grasp,0
mh,500,k1_mh_500,30,lift,0
mh,500,k1_mh_500,30,success,1
mh,750,k1_mh_750,30,none,7
mh,750,k1_mh_750,30,reach,19
mh,750,k1_mh_750,30,grasp,0
mh,750,k1_mh_750,30,lift,0
mh,750,k1_mh_750,30,success,4
ph,1000,k1_ph_1000,30,none,1
ph,1000,k1_ph_1000,30,reach,24
ph,1000,k1_ph_1000,30,grasp,0
ph,1000,k1_ph_1000,30,lift,3
ph,1000,k1_ph_1000,30,success,2
ph,250,k1_ph_250,30,none,8
ph,250,k1_ph_250,30,reach,21
ph,250,k1_ph_250,30,grasp,0
ph,250,k1_ph_250,30,lift,0
ph,250,k1_ph_250,30,success,1
ph,500,k1_ph_500,30,none,1
ph,500,k1_ph_500,30,reach,19
ph,500,k1_ph_500,30,grasp,0
ph,500,k1_ph_500,30,lift,3
ph,500,k1_ph_500,30,success,7
ph,750,k1_ph_750,30,none,2
ph,750,k1_ph_750,30,reach,20
ph,750,k1_ph_750,30,grasp,0
ph,750,k1_ph_750,30,lift,6
ph,750,k1_ph_750,30,success,2
random,0,k1_random,30,none,24
random,0,k1_random,30,reach,6
random,0,k1_random,30,grasp,0
random,0,k1_random,30,lift,0
random,0,k1_random,30,success,0
