dataset,step,label,n_episodes,rate_success,rate_success_lo,rate_success_hi,rate_reached,rate_reached_lo,rate_reached_hi,rate_grasped,rate_grasped_lo,rate_grasped_hi,rate_lifted,rate_lifted_lo,rate_lifted_hi,rate_hovered,rate_hovered_lo,rate_hovered_hi,rate_can_fell_off,rate_can_fell_off_lo,rate_can_fell_off_hi,progress_pct_mean,progress_pct_lo,progress_pct_hi,progress_pct_median,progress_pct_std,max_staged_reward_mean,max_staged_reward_lo,max_staged_reward_hi,max_staged_reward_median,max_staged_reward_std,r_reach_max_mean,r_reach_max_lo,r_reach_max_hi,r_reach_max_median,r_reach_max_std,r_grasp_max_mean,r_grasp_max_lo,r_grasp_max_hi,r_grasp_max_median,r_grasp_max_std,r_lift_max_mean,r_lift_max_lo,r_lift_max_hi,r_lift_max_median,r_lift_max_std,r_hover_max_mean,r_hover_max_lo,r_hover_max_hi,r_hover_max_median,r_hover_max_std,min_gripper_to_can_mean,min_gripper_to_can_lo,min_gripper_to_can_hi,min_gripper_to_can_median,min_gripper_to_can_std,reach_closure_frac_mean,reach_closure_frac_lo,reach_closure_frac_hi,reach_closure_frac_median,reach_closure_frac_std,max_can_height_gain_mean,max_can_height_gain_lo,max_can_height_gain_hi,max_can_height_gain_median,max_can_height_gain_std,max_can_displacement_mean,max_can_displacement_lo,max_can_displacement_hi,max_can_displacement_median,max_can_displacement_std,steps_mean,steps_lo,steps_hi,steps_median,steps_std,eef_path_length_mean,eef_path_length_lo,eef_path_length_hi,eef_path_length_median,eef_path_length_std,eef_net_displacement_mean,eef_net_displacement_lo,eef_net_displacement_hi,eef_net_displacement_median,eef_net_displacement_std,path_efficiency_mean,path_efficiency_lo,path_efficiency_hi,path_efficiency_median,path_efficiency_std,action_abs_mean_mean,action_abs_mean_lo,action_abs_mean_hi,action_abs_mean_median,action_abs_mean_std,action_saturation_frac_mean,action_saturation_frac_lo,action_saturation_frac_hi,action_saturation_frac_median,action_saturation_frac_std,action_jerk_mean_mean,action_jerk_mean_lo,action_jerk_mean_hi,action_jerk_mean_median,action_jerk_mean_std,gripper_cmd_mean_mean,gripper_cmd_mean_lo,gripper_cmd_mean_hi,gripper_cmd_mean_median,gripper_cmd_mean_std,gripper_closed_frac_mean,gripper_closed_frac_lo,gripper_closed_frac_hi,gripper_closed_frac_median,gripper_closed_frac_std,gripper_switches_mean,gripper_switches_lo,gripper_switches_hi,gripper_switches_median,gripper_switches_std
mg,1000,k1_mg_1000,30,0.0,0.0,0.1135,0.1667,0.0734,0.3356,0.0,0.0,0.1135,0.0,0.0,0.1135,0.0,0.0,0.1135,0.0,0.0,0.1135,4.7373,3.0335,6.7829,2.11,5.2155,0.1579,0.1012,0.2261,0.0703,0.1738,0.1579,0.1012,0.2261,0.0703,0.1738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1515,0.1298,0.1721,0.1656,0.0591,0.2865,0.1959,0.3836,0.2364,0.2585,0.0,0.0,0.0,0.0,0.0,0.0168,0.0131,0.0222,0.0127,0.0123,150.0,150.0,150.0,150.0,0.0,2.2568,2.1687,2.3437,2.2959,0.2379,0.2817,0.2499,0.3157,0.2741,0.0877,0.1245,0.1123,0.1371,0.1161,0.0336,0.6158,0.6122,0.6192,0.6167,0.0096,0.0,0.0,0.0,0.0,0.0,0.8038,0.7977,0.8096,0.8045,0.0165,0.0125,-0.0083,0.0332,0.0238,0.0564,0.5036,0.4864,0.5204,0.5033,0.0457,74.5667,72.2,77.0675,75.0,6.82
mg,250,k1_mg_250,30,0.0,0.0,0.1135,0.0,0.0,0.1135,0.0,0.0,0.1135,0.0,0.0,0.1135,0.0,0.0,0.1135,0.0,0.0,0.1135,1.8483,1.3107,2.4804,0.98,1.5878,0.0616,0.0437,0.0827,0.0328,0.0529,0.0616,0.0437,0.0827,0.0328,0.0529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1863,0.1724,0.1996,0.2047,0.0366,0.1229,0.0667,0.1833,0.0357,0.1597,0.0,0.0,0.0,0.0,0.0,0.0127,0.0127,0.0127,0.0127,0.0,150.0,150.0,150.0,150.0,0.0,2.2704,2.188,2.3561,2.25,0.2348,0.266,0.2307,0.3027,0.2377,0.1037,0.1194,0.1023,0.1391,0.1099,0.0523,0.6203,0.6161,0.6243,0.6232,0.0114,0.0,0.0,0.0,0.0,0.0,0.8088,0.8016,0.8169,0.8052,0.0219,0.0207,0.0051,0.0371,0.0186,0.0455,0.5102,0.498,0.5229,0.51,0.0347,76.1,74.0333,78.2008,75.5,6.1283
mg,500,k1_mg_500,30,0.0,0.0,0.1135,0.2,0.095,0.3731,0.0,0.0,0.1135,0.0,0.0,0.1135,0.0,0.0,0.1135,0.0,0.0,0.1135,4.9777,3.0329,7.3778,2.425,6.0473,0.1659,0.1011,0.2459,0.0807,0.2016,0.1659,0.1011,0.2459,0.0807,0.2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1484,0.1256,0.1676,0.1584,0.0565,0.2925,0.1997,0.3996,0.2421,0.2708,0.0,0.0,0.0001,0.0,0.0001,0.0206,0.0138,0.0305,0.0127,0.024,150.0,150.0,150.0,150.0,0.0,2.296,2.2384,2.361,2.3003,0.1745,0.2803,0.2499,0.3109,0.2711,0.0841,0.1221,0.1095,0.1346,0.1174,0.0347,0.6176,0.6143,0.6209,0.6174,0.0092,0.0,0.0,0.0,0.0,0.0,0.8089,0.8024,0.815,0.8094,0.0178,0.0062,-0.0159,0.0274,0.0027,0.0585,0.5062,0.4911,0.522,0.5,0.0408,75.1333,73.6,76.7333,75.0,4.4999
mg,750,k1_mg_750,30,0.0,0.0,0.1135,0.1667,0.0734,0.3356,0.0,0.0,0.1135,0.0,0.0,0.1135,0.0,0.0,0.1135,0.0,0.0,0.1135,4.447,2.8653,6.1932,2.35,4.7343,0.1482,0.0955,0.2065,0.0784,0.1578,0.1482,0.0955,0.2065,0.0784,0.1578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1512,0.1315,0.1698,0.16,0.0535,0.2815,0.1971,0.3743,0.2737,0.2479,0.0001,0.0,0.0002,0.0,0.0004,0.0197,0.0145,0.0257,0.0127,0.016,150.0,150.0,150.0,150.0,0.0,2.3079,2.2288,2.3936,2.3327,0.2278,0.2723,0.2395,0.3071,0.2372,0.0967,0.1182,0.1043,0.1325,0.1109,0.041,0.6171,0.6137,0.6203,0.6176,0.0091,0.0,0.0,0.0,0.0,0.0,0.8082,0.8013,0.8146,0.814,0.0177,0.009,-0.0118,0.0284,0.0106,0.0568,0.5022,0.4884,0.5156,0.51,0.0378,74.4667,72.0333,76.8333,74.5,6.5764
mh,1000,k1_mh_1000,30,0.0667,0.0185,0.2132,0.7333,0.5555,0.8582,0.1,0.0346,0.2562,0.1,0.0346,0.2562,0.0667,0.0185,0.2132,0.0,0.0,0.1135,20.3977,12.3923,30.2252,13.825,25.5388,0.458,0.3671,0.553,0.4608,0.2565,0.4544,0.3655,0.5473,0.4608,0.249,0.025,0.0,0.0583,0.0,0.075,0.0863,0.0,0.1921,0.0,0.266,0.0,0.0,0.0,0.0,0.0,0.0726,0.0554,0.0911,0.0603,0.0487,0.6525,0.5689,0.7327,0.7147,0.2255,0.0008,0.0,0.0018,0.0,0.0026,0.0179,0.0151,0.0214,0.0127,0.009,148.6333,146.2667,150.0,150.0,5.6715,0.7541,0.7301,0.777,0.7624,0.064,0.2448,0.2299,0.2593,0.2378,0.0414,0.3252,0.306,0.3423,0.3316,0.0503,0.2668,0.2642,0.2691,0.2651,0.0067,0.0799,0.0771,0.0826,0.0814,0.0077,0.2936,0.2906,0.2963,0.2944,0.0085,-0.4118,-0.4698,-0.3592,-0.4158,0.1538,0.2719,0.2393,0.302,0.27,0.0886,44.6333,42.165,47.0333,45.5,6.8092
mh,250,k1_mh_250,30,0.1667,0.0734,0.3356,0.8,0.6269,0.905,0.2,0.095,0.3731,0.2,0.095,0.3731,0.1667,0.0734,0.3356,0.0,0.0,0.1135,32.126,21.1145,44.6833,18.185,33.7026,0.6154,0.5103,0.721,0.6062,0.2959,0.601,0.4998,0.6987,0.6062,0.2785,0.05,0.0167,0.0833,0.0,0.1,0.19,0.0667,0.3333,0.0,0.3832,0.0,0.0,0.0,0.0,0.0,0.0487,0.0349,0.0632,0.0417,0.0397,0.7619,0.6903,0.8296,0.8005,0.1961,0.002,0.0007,0.0035,0.0,0.0041,0.0185,0.0152,0.0233,0.0128,0.0113,139.2667,129.4658,147.6333,150.0,25.6384,0.7562,0.7019,0.8035,0.8121,0.1472,0.2576,0.2458,0.2694,0.2596,0.0328,0.3545,0.3277,0.3852,0.3323,0.0819,0.2699,0.2676,0.2721,0.2694,0.0064,0.0798,0.077,0.0824,0.08,0.0074,0.3002,0.2935,0.306,0.3031,0.0181,-0.2459,-0.2954,-0.1963,-0.2399,0.1477,0.3653,0.3378,0.3933,0.3733,0.081,49.7667,45.0658,54.0333,52.0,13.0402
mh,500,k1_mh_500,30,0.0333,0.0059,0.1667,0.3667,0.2187,0.5449,0.0333,0.0059,0.1667,0.0333,0.0059,0.1667,0.0333,0.0059,0.1667,0.0,0.0,0.1135,10.903,6.0462,18.4178,5.655,17.7378,0.2856,0.1995,0.3829,0.1885,0.2511,0.2834,0.1979,0.3759,0.1885,0.2449,0.0083,0.0,0.025,0.0,0.0449,0.0333,0.0,0.1,0.0,0.1795,0.0,0.0,0.0,0.0,0.0,0.1105,0.0901,0.13,0.1152,0.0555,0.4699,0.3774,0.5649,0.4396,0.2628,0.0003,0.0,0.001,0.0,0.0019,0.0139,0.0127,0.0159,0.0127,0.0048,149.6,148.8,150.0,150.0,2.1541,0.8171,0.7975,0.8369,0.8089,0.055,0.2894,0.2729,0.3034,0.2976,0.0416,0.3538,0.3368,0.3689,0.3581,0.0442,0.2677,0.2652,0.2704,0.2671,0.0072,0.0782,0.0753,0.0813,0.0766,0.0081,0.3048,0.3008,0.3084,0.3072,0.0107,-0.4022,-0.44,-0.3635,-0.413,0.1052,0.2735,0.2518,0.2956,0.2767,0.0596,51.7667,48.9333,54.5667,51.0,7.7014
mh,750,k1_mh_750,30,0.1333,0.0531,0.2968,0.7667,0.5907,0.8821,0.1333,0.0531,0.2968,0.1333,0.0531,0.2968,0.1333,0.0531,0.2968,0.0,0.0,0.1135,26.162,16.5403,38.1364,15.925,29.785,0.5609,0.4602,0.6675,0.5309,0.2888,0.5515,0.4554,0.6505,0.5309,0.2752,0.0333,0.0083,0.0667,0.0,0.085,0.1333,0.0333,0.2667,0.0,0.3399,0.0,0.0,0.0,0.0,0.0,0.0554,0.0414,0.0696,0.051,0.0402,0.7346,0.667,0.8015,0.7587,0.1907,0.0014,0.0003,0.0028,0.0,0.0036,0.0175,0.0139,0.0229,0.0127,0.0133,146.0333,141.5333,149.5333,150.0,11.095,0.7536,0.7217,0.7812,0.7804,0.0818,0.2559,0.2394,0.2728,0.2524,0.0453,0.3399,0.3229,0.3574,0.3328,0.0481,0.2676,0.2659,0.2695,0.2672,0.0051,0.0806,0.0781,0.0831,0.0805,0.0068,0.2969,0.2916,0.3018,0.2992,0.0149,-0.3873,-0.4431,-0.3341,-0.3904,0.1516,0.2801,0.2484,0.3096,0.2767,0.0856,46.4667,42.865,49.6333,48.0,9.355
ph,1000,k1_ph_1000,30,0.0667,0.0185,0.2132,0.9667,0.8333,0.9941,0.1667,0.0734,0.3356,0.1667,0.0734,0.3356,0.0667,0.0185,0.2132,0.0,0.0,0.1135,29.371,20.6327,39.8186,18.965,26.6287,0.6341,0.5712,0.696,0.6321,0.1707,0.6282,0.5687,0.6851,0.6321,0.16,0.0417,0.0083,0.075,0.0,0.0932,0.1143,0.0313,0.2259,0.0,0.2782,0.0,0.0,0.0,0.0,0.0,0.0406,0.0336,0.0484,0.0386,0.0205,0.8045,0.7658,0.8384,0.8117,0.1009,0.001,0.0,0.0025,0.0,0.0036,0.0199,0.0158,0.025,0.0133,0.0126,144.9667,136.1333,150.0,150.0,21.2955,0.8108,0.7657,0.8479,0.8327,0.1185,0.2254,0.21,0.2406,0.2155,0.0434,0.2858,0.2602,0.3126,0.2695,0.0776,0.2798,0.2771,0.2832,0.2783,0.0085,0.0687,0.0667,0.0706,0.0691,0.0055,0.3312,0.3267,0.3359,0.3287,0.0135,-0.0963,-0.1445,-0.0466,-0.0859,0.1354,0.441,0.4117,0.4709,0.4433,0.0836,59.9,55.7658,63.0675,60.5,10.486
ph,250,k1_ph_250,30,0.0333,0.0059,0.1667,0.7333,0.5555,0.8582,0.0333,0.0059,0.1667,0.0333,0.0059,0.1667,0.0333,0.0059,0.1667,0.0,0.0,0.1135,17.2617,12.3027,25.0116,14.75,17.0243,0.4976,0.4055,0.5939,0.4917,0.2616,0.4969,0.4053,0.592,0.4917,0.2603,0.0083,0.0,0.0333,0.0,0.0449,0.0333,0.0,0.1333,0.0,0.1795,0.0,0.0,0.0,0.0,0.0,0.0636,0.0493,0.0784,0.0561,0.0412,0.691,0.6178,0.7619,0.7354,0.2025,0.0005,0.0,0.0015,0.0,0.0022,0.0219,0.0165,0.0281,0.0127,0.0162,147.1333,138.5333,150.0,150.0,15.4375,0.8679,0.8213,0.8988,0.8792,0.1057,0.3654,0.3496,0.3796,0.3741,0.0403,0.4261,0.4082,0.4485,0.4183,0.0544,0.2864,0.2844,0.2883,0.2867,0.0056,0.0668,0.065,0.0685,0.0667,0.0048,0.3455,0.3414,0.3496,0.3453,0.0112,-0.3453,-0.3631,-0.3265,-0.3417,0.0512,0.2958,0.2819,0.3101,0.2967,0.0397,62.3,57.9983,65.9333,62.5,10.8356
