dataset,log_index,loss,grad_norm,learning_rate
mg,1,1.4176,0.37605416774749756,5.399999999999999e-05
mg,2,1.3838,0.6132991909980774,0.00011399999999999999
mg,3,1.4381,0.5222073197364807,0.00017399999999999997
mg,4,1.4161,0.3202698230743408,0.000234
mg,5,1.4331,0.5280907154083252,0.000294
mg,6,1.3898,0.47929856181144714,0.00029993356961666504
mg,7,1.4075,0.6572976112365723,0.0002997040092642407
mg,8,1.4172,0.40785351395606995,0.00029931074977561806
mg,9,1.4288,0.5782923102378845,0.0002987542211742741
mg,10,1.4327,0.43522530794143677,0.0002980350320160635
mg,11,1.4229,0.3396829068660736,0.00029715396872377175
mg,12,1.4469,0.20371687412261963,0.00029611199472717346
mg,13,1.4008,0.2912558913230896,0.00029491024940953557
mg,14,1.3894,0.18511277437210083,0.00029355004686171926
mg,15,1.4335,0.1894879788160324,0.00029203287444524024
mg,16,1.3395,0.21392323076725006,0.00029036039116586096
mg,17,1.4501,0.2173672616481781,0.00028853442585949227
mg,18,1.417,0.18223431706428528,0.0002865569751923882
mg,19,1.4082,0.27370700240135193,0.0002844302014778205
mg,20,1.4091,0.14429396390914917,0.0002821564303116212
mg,21,1.3912,0.28593412041664124,0.00027973814802917727
mg,22,1.3867,0.14209574460983276,0.00027717799898665976
mg,23,1.4117,0.11972519010305405,0.0002744787826694589
mg,24,1.3977,0.1477579027414322,0.000271643450630988
mg,25,1.3934,0.16549275815486908,0.00026867510326520326
mg,26,1.4032,0.12655435502529144,0.00026557698641636835
mg,27,1.4387,0.12332497537136078,0.0002623524878297714
mg,28,1.4218,0.09228783845901489,0.00025900513344727507
mg,29,1.4231,0.08704303205013275,0.0002555385835517515
mg,30,1.3863,0.19386649131774902,0.00025195662876461596
mg,31,1.4118,0.11633791774511337,0.0002482631859008384
mg,32,1.3989,0.09415535628795624,0.00024446229368596387
mg,33,1.4406,0.12379853427410126,0.0002405581083398251
mg,34,1.3621,0.09074163436889648,0.0002365548990317775
mg,35,1.3943,0.18205104768276215,0.00023245704321242492
mg,36,1.4229,0.15471848845481873,0.00022826902182694156
mg,37,1.4233,0.12142682075500488,0.00022399541441522474
mg,38,1.3913,0.15758568048477173,0.00021964089410423456
mg,39,1.4018,0.11041457206010818,0.0002152102224979987
mg,40,1.4248,0.10417503118515015,0.00021070824447086807
mg,41,1.4278,0.08052532374858856,0.00020613988286971802
mg,42,1.4093,0.10522612184286118,0.00020151013313088746
mg,43,1.3984,0.12344106286764145,0.00019682405781774239
mg,44,1.3958,0.09671106934547424,0.00019208678108483746
mg,45,1.4377,0.06317386776208878,0.00018730348307472824
mg,46,1.4253,0.08794131875038147,0.00018247939425356096
mg,47,1.3959,0.10663516074419022,0.00017761978969163506
mg,48,1.4343,0.0796622633934021,0.00017272998329519103
mg,49,1.4397,0.08523903787136078,0.000167815321995732
mg,50,1.4038,0.08009923249483109,0.00016288117990323256
mg,51,1.4351,0.06522631645202637,0.0001579329524296285
mg,52,1.3999,0.15181660652160645,0.00015297605038901304
mg,53,1.4186,0.10877695679664612,0.00014801589408099117
mg,54,1.381,0.08997739851474762,0.00014305790736366135
mg,55,1.3912,0.11402394622564316,0.00013810751172270658
mg,56,1.4321,0.07477793097496033,0.00013317012034307936
mg,57,1.4183,0.09990361332893372,0.0001282511321897631
mg,58,1.3923,0.14265568554401398,0.0001233559261040837
mg,59,1.4454,0.08745691925287247,0.00011848985492202512
