episode,step,eef_x,eef_y,eef_z,gripper,success
0,0,-0.09049,-0.01523,1.01185,-1.0,1
0,1,-0.09398,-0.01304,1.01032,-1.0,1
0,2,-0.09571,-0.01131,1.00852,-1.0,1
0,3,-0.0944,-0.01004,1.00653,-1.0,1
0,4,-0.09088,-0.00824,1.00372,-1.0,1
0,5,-0.08606,-0.00574,0.99976,-1.0,1
0,6,-0.07994,-0.00319,0.99558,-1.0,1
0,7,-0.07306,-0.00051,0.99142,-1.0,1
0,8,-0.06531,0.00249,0.98741,-1.0,1
0,9,-0.05734,0.00602,0.98353,-1.0,1
0,10,-0.04948,0.00944,0.97997,-1.0,1
0,11,-0.04179,0.01216,0.97618,-1.0,1
0,12,-0.03423,0.01453,0.97198,-1.0,1
0,13,-0.0272,0.01682,0.96744,-1.0,1
0,14,-0.01977,0.01912,0.96251,-1.0,1
0,15,-0.01257,0.0212,0.95736,-1.0,1
0,16,-0.00482,0.02269,0.95245,-1.0,1
0,17,0.00217,0.02414,0.94785,-1.0,1
0,18,0.00922,0.02549,0.94374,-1.0,1
0,19,0.01593,0.02577,0.93878,-1.0,1
0,20,0.02296,0.02609,0.9328,-1.0,1
0,21,0.02928,0.02614,0.92549,-1.0,1
0,22,0.03604,0.02576,0.91696,-1.0,1
0,23,0.04152,0.0252,0.90935,-1.0,1
0,24,0.04639,0.0257,0.90347,-1.0,1
0,25,0.04985,0.02643,0.89826,-1.0,1
0,26,0.05328,0.02713,0.89308,-1.0,1
0,27,0.05567,0.02701,0.88786,-1.0,1
0,28,0.05833,0.02614,0.8824,-1.0,1
0,29,0.06003,0.0249,0.87724,-1.0,1
0,30,0.06152,0.02372,0.87239,-1.0,1
0,31,0.06171,0.02308,0.86829,-1.0,1
0,32,0.06151,0.0231,0.86514,-1.0,1
0,33,0.06034,0.02353,0.86207,-1.0,1
0,34,0.05937,0.02407,0.85922,-1.0,1
0,35,0.05801,0.02408,0.85585,-1.0,1
0,36,0.05645,0.02398,0.85332,-1.0,1
0,37,0.05455,0.02375,0.85034,-1.0,1
0,38,0.05257,0.02355,0.848,-1.0,1
0,39,0.05029,0.02344,0.84536,-1.0,1
0,40,0.04824,0.02297,0.84266,-1.0,1
0,41,0.04594,0.02231,0.8402,-1.0,1
0,42,0.04356,0.02132,0.83783,-1.0,1
0,43,0.04112,0.02009,0.83561,-1.0,1
0,44,0.03874,0.01874,0.83375,1.0,1
0,45,0.03619,0.01758,0.83203,1.0,1
0,46,0.03361,0.01701,0.83005,1.0,1
0,47,0.03167,0.01633,0.82757,1.0,1
0,48,0.0305,0.01596,0.82557,1.0,1
0,49,0.03033,0.0171,0.82473,1.0,1
0,50,0.03106,0.01926,0.82532,1.0,1
0,51,0.0311,0.02074,0.82587,1.0,1
0,52,0.0307,0.02176,0.82633,1.0,1
0,53,0.03024,0.02219,0.82896,1.0,1
0,54,0.02981,0.02213,0.83547,1.0,1
0,55,0.029,0.02155,0.84545,1.0,1
0,56,0.02806,0.02088,0.85684,1.0,1
0,57,0.02747,0.0202,0.86837,1.0,1
0,58,0.02735,0.01946,0.87988,1.0,1
1,0,-0.08321,-0.0095,1.03691,-1.0,1
1,1,-0.08679,-0.00623,1.0302,-1.0,1
1,2,-0.08553,-0.00319,1.02314,-1.0,1
1,3,-0.08035,-0.00095,1.017,-1.0,1
1,4,-0.07387,0.00064,1.00993,-1.0,1
1,5,-0.0666,0.00197,1.00153,-1.0,1
1,6,-0.05897,0.00369,0.99237,-1.0,1
1,7,-0.0512,0.00563,0.98283,-1.0,1
1,8,-0.04339,0.00736,0.97399,-1.0,1
1,9,-0.03612,0.00932,0.96678,-1.0,1
1,10,-0.02911,0.01146,0.96103,-1.0,1
1,11,-0.02237,0.01337,0.95579,-1.0,1
1,12,-0.01584,0.0143,0.95102,-1.0,1
1,13,-0.00963,0.01432,0.9461,-1.0,1
1,14,-0.004,0.01384,0.94072,-1.0,1
1,15,0.00141,0.01284,0.93506,-1.0,1
1,16,0.00599,0.01154,0.92914,-1.0,1
1,17,0.0093,0.00956,0.92375,-1.0,1
1,18,0.01197,0.00679,0.91875,-1.0,1
1,19,0.01476,0.00378,0.91385,-1.0,1
1,20,0.01716,0.00118,0.90927,-1.0,1
1,21,0.01974,-0.00088,0.90479,-1.0,1
1,22,0.02221,-0.00229,0.90067,-1.0,1
1,23,0.0247,-0.00339,0.89712,-1.0,1
1,24,0.02701,-0.00427,0.8932,-1.0,1
1,25,0.0287,-0.0047,0.88972,-1.0,1
1,26,0.0298,-0.00489,0.88651,-1.0,1
1,27,0.03053,-0.00502,0.88385,-1.0,1
1,28,0.03064,-0.00511,0.88126,-1.0,1
1,29,0.03063,-0.00533,0.87786,-1.0,1
1,30,0.03045,-0.00536,0.8734,-1.0,1
1,31,0.03047,-0.00539,0.86794,-1.0,1
1,32,0.03042,-0.0053,0.86191,-1.0,1
1,33,0.0299,-0.00488,0.85566,-1.0,1
1,34,0.02906,-0.00446,0.84931,-1.0,1
1,35,0.02819,-0.00381,0.84352,-1.0,1
1,36,0.02682,-0.00288,0.83869,-1.0,1
1,37,0.02536,-0.00162,0.83469,-1.0,1
1,38,0.02403,-0.00031,0.83228,-1.0,1
1,39,0.02259,0.0007,0.83065,-1.0,1
1,40,0.02136,0.00181,0.82868,-1.0,1
1,41,0.02024,0.00287,0.82631,-1.0,1
1,42,0.01904,0.00382,0.82353,-1.0,1
1,43,0.018,0.00449,0.8204,-1.0,1
1,44,0.01676,0.00477,0.81645,1.0,1
1,45,0.01555,0.00496,0.81327,1.0,1
1,46,0.01445,0.00469,0.81001,1.0,1
1,47,0.01433,0.00476,0.8094,1.0,1
1,48,0.01444,0.00455,0.80992,1.0,1
1,49,0.01467,0.00406,0.81151,1.0,1
1,50,0.01457,0.00412,0.81476,1.0,1
1,51,0.01412,0.00428,0.81926,1.0,1
1,52,0.01356,0.00466,0.82552,1.0,1
1,53,0.0126,0.00504,0.8338,1.0,1
1,54,0.01165,0.00558,0.84426,1.0,1
1,55,0.01046,0.00588,0.85585,1.0,1
1,56,0.00968,0.00543,0.86774,1.0,1
1,57,0.00966,0.00501,0.87964,1.0,1
2,0,-0.12022,0.0025,1.00156,-1.0,1
2,1,-0.11901,0.00237,1.00212,-1.0,1
2,2,-0.11782,0.00321,1.00199,-1.0,1
2,3,-0.11565,0.00537,1.0015,-1.0,1
2,4,-0.11216,0.00783,0.99959,-1.0,1
2,5,-0.10675,0.01061,0.99563,-1.0,1
2,6,-0.10014,0.01335,0.99008,-1.0,1
2,7,-0.09242,0.01591,0.98356,-1.0,1
2,8,-0.0841,0.01812,0.97654,-1.0,1
2,9,-0.07603,0.02036,0.96986,-1.0,1
2,10,-0.06784,0.02293,0.96349,-1.0,1
2,11,-0.05973,0.02574,0.95727,-1.0,1
2,12,-0.05147,0.02884,0.95123,-1.0,1
2,13,-0.04312,0.03148,0.94488,-1.0,1
2,14,-0.03555,0.03325,0.93886,-1.0,1
2,15,-0.02863,0.03374,0.93301,-1.0,1
2,16,-0.02241,0.03311,0.92691,-1.0,1
2,17,-0.01688,0.03219,0.92067,-1.0,1
2,18,-0.01213,0.0315,0.91426,-1.0,1
2,19,-0.00867,0.03121,0.90833,-1.0,1
2,20,-0.00596,0.03119,0.90229,-1.0,1
2,21,-0.00447,0.03073,0.89634,-1.0,1
2,22,-0.00323,0.03031,0.88989,-1.0,1
2,23,-0.00159,0.02941,0.88244,-1.0,1
2,24,4e-05,0.02901,0.87507,-1.0,1
2,25,0.0019,0.02863,0.86836,-1.0,1
2,26,0.00404,0.02778,0.86228,-1.0,1
2,27,0.00648,0.02581,0.85724,-1.0,1
2,28,0.00873,0.02338,0.85304,-1.0,1
2,29,0.01071,0.02137,0.85016,-1.0,1
2,30,0.01244,0.01963,0.84778,-1.0,1
2,31,0.0139,0.01859,0.84541,-1.0,1
2,32,0.01539,0.0178,0.8429,-1.0,1
2,33,0.01663,0.01717,0.8403,-1.0,1
2,34,0.01779,0.01665,0.83774,-1.0,1
2,35,0.01849,0.01648,0.83517,-1.0,1
2,36,0.01902,0.01636,0.83315,-1.0,1
2,37,0.01937,0.01636,0.83125,-1.0,1
2,38,0.01938,0.01636,0.82855,-1.0,1
2,39,0.01927,0.01623,0.82474,-1.0,1
2,40,0.01907,0.01613,0.82036,-1.0,1
2,41,0.01864,0.01594,0.81583,1.0,1
2,42,0.01818,0.01569,0.81165,1.0,1
2,43,0.01819,0.01586,0.80918,1.0,1
2,44,0.01827,0.0159,0.81015,1.0,1
2,45,0.01823,0.0158,0.81274,1.0,1
2,46,0.0179,0.01577,0.81661,1.0,1
2,47,0.0176,0.01611,0.82112,1.0,1
2,48,0.01706,0.01668,0.8271,1.0,1
2,49,0.01637,0.01756,0.83463,1.0,1
2,50,0.0156,0.01813,0.84386,1.0,1
2,51,0.01447,0.0187,0.85494,1.0,1
2,52,0.0131,0.01918,0.8668,1.0,1
2,53,0.01163,0.01994,0.87877,1.0,1
3,0,-0.09534,0.00173,1.00814,-1.0,1
3,1,-0.09661,0.00052,1.00614,-1.0,1
3,2,-0.10358,-0.00048,1.00257,-1.0,1
3,3,-0.10583,-0.00168,0.99835,-1.0,1
3,4,-0.10988,-0.00485,0.9943,-1.0,1
3,5,-0.11099,-0.0068,0.99085,-1.0,1
3,6,-0.10786,-0.00798,0.98609,-1.0,1
3,7,-0.10357,-0.00903,0.98031,-1.0,1
3,8,-0.09843,-0.00954,0.97431,-1.0,1
3,9,-0.09309,-0.00988,0.96754,-1.0,1
3,10,-0.08777,-0.01007,0.9597,-1.0,1
3,11,-0.08218,-0.00995,0.951,-1.0,1
3,12,-0.07575,-0.00991,0.94174,-1.0,1
3,13,-0.0695,-0.00921,0.93264,-1.0,1
3,14,-0.06347,-0.0082,0.92418,-1.0,1
3,15,-0.05778,-0.00725,0.91671,-1.0,1
3,16,-0.05225,-0.00681,0.91037,-1.0,1
3,17,-0.04697,-0.00696,0.9049,-1.0,1
3,18,-0.04142,-0.00829,0.90039,-1.0,1
3,19,-0.03621,-0.01019,0.89648,-1.0,1
3,20,-0.03064,-0.01221,0.89183,-1.0,1
3,21,-0.0256,-0.01392,0.88684,-1.0,1
3,22,-0.02194,-0.01518,0.8827,-1.0,1
3,23,-0.01796,-0.01615,0.87746,-1.0,1
3,24,-0.01466,-0.01659,0.87104,-1.0,1
3,25,-0.01204,-0.01629,0.86363,-1.0,1
3,26,-0.01084,-0.01549,0.85645,-1.0,1
3,27,-0.01024,-0.01434,0.84989,-1.0,1
3,28,-0.01058,-0.01317,0.8443,-1.0,1
3,29,-0.01042,-0.01211,0.83885,-1.0,1
3,30,-0.01028,-0.01114,0.83376,-1.0,1
3,31,-0.00898,-0.01037,0.8292,-1.0,1
3,32,-0.00752,-0.01004,0.82489,-1.0,1
3,33,-0.00577,-0.00987,0.82067,-1.0,1
3,34,-0.00468,-0.00979,0.81693,1.0,1
3,35,-0.00416,-0.00964,0.81353,1.0,1
3,36,-0.00405,-0.00945,0.81281,1.0,1
3,37,-0.00428,-0.00873,0.81302,1.0,1
3,38,-0.00463,-0.00807,0.81324,1.0,1
3,39,-0.00481,-0.00799,0.81275,1.0,1
3,40,-0.00475,-0.00824,0.81415,1.0,1
3,41,-0.00472,-0.00917,0.81806,1.0,1
3,42,-0.00565,-0.00956,0.82514,1.0,1
3,43,-0.00736,-0.00921,0.83522,1.0,1
3,44,-0.00945,-0.00848,0.84652,1.0,1
3,45,-0.01152,-0.00774,0.85805,1.0,1
3,46,-0.01348,-0.00681,0.86968,1.0,1
4,0,-0.10416,-0.00589,1.01244,-1.0,1
4,1,-0.1058,-0.00533,1.00998,-1.0,1
4,2,-0.10485,-0.00528,1.00585,-1.0,1
4,3,-0.10074,-0.00591,1.00094,-1.0,1
4,4,-0.09397,-0.0069,0.99615,-1.0,1
4,5,-0.0856,-0.00567,0.98833,-1.0,1
4,6,-0.07669,-0.00295,0.97855,-1.0,1
4,7,-0.06762,0.00062,0.96821,-1.0,1
4,8,-0.05831,0.00422,0.95737,-1.0,1
4,9,-0.04873,0.0076,0.94578,-1.0,1
4,10,-0.0391,0.01013,0.9339,-1.0,1
4,11,-0.02985,0.01256,0.92269,-1.0,1
4,12,-0.02167,0.01506,0.91312,-1.0,1
4,13,-0.01439,0.01732,0.90532,-1.0,1
4,14,-0.00787,0.01912,0.89808,-1.0,1
4,15,-0.00153,0.02013,0.89077,-1.0,1
4,16,0.00441,0.02018,0.88355,-1.0,1
4,17,0.01084,0.0194,0.8767,-1.0,1
4,18,0.01656,0.01776,0.87056,-1.0,1
4,19,0.02122,0.01584,0.8654,-1.0,1
4,20,0.02448,0.01418,0.86056,-1.0,1
4,21,0.02697,0.01288,0.85523,-1.0,1
4,22,0.02845,0.01186,0.84962,-1.0,1
4,23,0.02941,0.01104,0.84371,-1.0,1
4,24,0.02973,0.01014,0.83828,-1.0,1
4,25,0.02983,0.00951,0.83388,-1.0,1
